dataset,model,seed,init-lr,dropout,layer-sizes,batch-size,max-attempt-count,max-attempt-filter,onehot-input,output-per-skill,n-heads,acc,auc,prec,recall,f1,mcc,rmse,aic,aicc,bic,log-loss
IntroProg,DKVMN,42,1e 3,0.2,50_50_20_100,32,200,split,,,,0.756/0.029,0.826/0.015,0.755/0.022,0.76/0.069,0.757/0.046,0.488/0.033,0.406/0.019,,,,0.499/0.034
IntroProg,DKVMN,13,1e 3,0.2,100_20_20_100,32,200,split,true,,,0.755/0.029,0.825/0.014,0.755/0.028,0.758/0.057,0.756/0.042,0.487/0.034,0.406/0.018,,,,0.5/0.032
IntroProg,DKVMN,13,1e 2,0.2,50_20_50_50,32,200,split,true,,,0.755/0.029,0.826/0.014,0.751/0.027,0.765/0.059,0.758/0.043,0.487/0.033,0.406/0.017,,,,0.5/0.031
IntroProg,DKVMN,13,1e 2,0.2,50_20_20_100,32,200,split,true,,,0.755/0.029,0.826/0.014,0.751/0.029,0.765/0.054,0.758/0.041,0.488/0.033,0.407/0.017,,,,0.501/0.03
IntroProg,DKVMN,13,1e 3,0.2,100_50_20_100,32,200,split,true,,,0.755/0.029,0.825/0.012,0.754/0.029,0.758/0.056,0.756/0.043,0.487/0.033,0.406/0.017,,,,0.501/0.03
IntroProg,DKVMN,13,1e 3,0.2,100_20_20_50,32,200,split,,,,0.756/0.03,0.826/0.014,0.756/0.025,0.757/0.062,0.756/0.043,0.489/0.034,0.406/0.018,,,,0.499/0.033
IntroProg,DKVMN,42,1e 3,0.2,100_50_50_50,32,200,split,,,,0.755/0.027,0.825/0.012,0.752/0.029,0.759/0.066,0.755/0.048,0.485/0.029,0.407/0.017,,,,0.501/0.03
IntroProg,DKVMN,42,1e 2,0.2,100_20_50_100,32,200,split,,,,0.755/0.03,0.825/0.015,0.76/0.022,0.748/0.068,0.753/0.046,0.487/0.032,0.406/0.019,,,,0.5/0.035
IntroProg,DKVMN,13,1e 2,0.2,100_50_20_50,32,200,split,,,,0.755/0.029,0.826/0.015,0.756/0.029,0.755/0.056,0.755/0.042,0.488/0.031,0.406/0.018,,,,0.5/0.033
IntroProg,DKVMN,13,1e 2,0.2,100_20_50_1,32,200,split,,true,,0.755/0.027,0.825/0.014,0.753/0.035,0.76/0.051,0.756/0.043,0.488/0.03,0.406/0.018,,,,0.5/0.033
IntroProg,DKVMN,13,1e 2,0.2,50_20_50_50,32,200,split,,,,0.756/0.028,0.826/0.014,0.755/0.033,0.758/0.051,0.756/0.042,0.49/0.031,0.406/0.017,,,,0.501/0.03
IntroProg,DKVMN,42,1e 2,0.2,100_20_20_100,32,200,split,,,,0.756/0.029,0.825/0.013,0.758/0.022,0.752/0.068,0.755/0.046,0.488/0.031,0.406/0.018,,,,0.5/0.033
IntroProg,DKVMN,13,1e 3,0.2,50_50_20_1,32,200,split,,true,,0.756/0.027,0.826/0.014,0.755/0.034,0.757/0.052,0.756/0.043,0.489/0.029,0.406/0.017,,,,0.499/0.031
IntroProg,DKVMN,13,1e 2,0.2,50_20_20_50,32,200,split,,,,0.756/0.028,0.826/0.015,0.754/0.03,0.76/0.057,0.757/0.043,0.488/0.031,0.407/0.017,,,,0.501/0.031
IntroProg,DKVMN,42,1e 3,0.2,50_20_50_100,32,200,split,true,,,0.756/0.029,0.825/0.012,0.752/0.026,0.763/0.066,0.757/0.046,0.487/0.033,0.407/0.017,,,,0.501/0.029
IntroProg,DKVMN,13,1e 2,0.2,100_50_20_100,32,200,split,,,,0.755/0.029,0.826/0.014,0.754/0.028,0.758/0.061,0.756/0.044,0.487/0.031,0.406/0.018,,,,0.501/0.032
IntroProg,DKVMN,42,1e 3,0.2,50_20_50_50,32,200,split,true,,,0.756/0.029,0.825/0.013,0.752/0.025,0.763/0.065,0.757/0.045,0.487/0.033,0.406/0.017,,,,0.5/0.031
IntroProg,DKVMN,42,1e 2,0.2,50_50_20_100,32,200,split,true,,,0.756/0.029,0.825/0.014,0.757/0.024,0.754/0.068,0.755/0.047,0.488/0.031,0.406/0.018,,,,0.501/0.032
IntroProg,DKVMN,13,1e 2,0.2,100_50_50_1,32,200,split,true,true,,0.756/0.028,0.826/0.014,0.752/0.032,0.764/0.051,0.758/0.042,0.489/0.033,0.406/0.018,,,,0.5/0.032
IntroProg,DKVMN,42,1e 2,0.2,50_50_50_1,32,200,split,,true,,0.755/0.029,0.824/0.013,0.755/0.024,0.756/0.068,0.755/0.046,0.487/0.031,0.406/0.018,,,,0.5/0.034
IntroProg,DKVMN,13,1e 2,0.2,50_50_20_100,32,200,split,,,,0.755/0.029,0.826/0.015,0.753/0.027,0.762/0.061,0.757/0.043,0.487/0.032,0.407/0.018,,,,0.501/0.032
IntroProg,DKVMN,42,1e 3,0.2,100_50_50_100,32,200,split,,,,0.756/0.029,0.825/0.014,0.755/0.023,0.759/0.068,0.756/0.045,0.487/0.033,0.406/0.018,,,,0.5/0.032
IntroProg,DKVMN,42,1e 3,0.2,100_20_20_1,32,200,split,true,true,,0.756/0.028,0.826/0.013,0.754/0.03,0.76/0.058,0.757/0.044,0.489/0.03,0.406/0.017,,,,0.498/0.032
IntroProg,DKVMN,13,1e 3,0.2,50_20_20_100,32,200,split,true,,,0.755/0.029,0.826/0.014,0.755/0.027,0.757/0.059,0.756/0.043,0.487/0.034,0.406/0.018,,,,0.499/0.032
